premium,premium_monthly,premium_quaterly,premium_half_yearly,SA,Plan,Company,claim_ratio,plan_description,plan_features_1,plan_features_2,plan_features_3,age,Term,Type Of Policy,combined
6490,573,1687.0,3310,5000000,Sampoorna Raksha Supreme,TATA AIA Life Insurance Company Limited,99.13,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 5,000,000  on death ",NIL,Complete online process,20,8,Term Life Insurance,Premium:6490 premium_monthly:573 premium_quaterly:1687.0 premium_quaterly:3310 Sum Assured:5000000 age:20 Term:8 Type Of Policy:Term Life Insurance Company:TATA AIA Life Insurance Company Limited
5505,470,,2787,5000000,iProtect Smart Lumpsum Plan,ICICI Prudential Life Insurance Company Limited,99.17,iProtect Smart Lumpsum Plan is a comprehensive protection plan that provides complete protection - Life Cover as well as multiple add on riders,"Rs. 5,000,000  on death",Inbuilt terminal illness,Inbuilt Waiver of Premium on disability,20,8,Term Life Insurance,Premium:5505 premium_monthly:470 premium_quaterly:nan premium_quaterly:2787 Sum Assured:5000000 age:20 Term:8 Type Of Policy:Term Life Insurance Company:ICICI Prudential Life Insurance Company Limited
5755,504,1496.0,2935,5000000,Click 2 Protect Super,HDFC Life Insurance Company Limited,99.5,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 5,000,000  on death ",NIL,Complete online process,20,8,Term Life Insurance,Premium:5755 premium_monthly:504 premium_quaterly:1496.0 premium_quaterly:2935 Sum Assured:5000000 age:20 Term:8 Type Of Policy:Term Life Insurance Company:HDFC Life Insurance Company Limited
42676,3756,11138.0,21893,10000000,Smart Secure Plus - Life Cover,Max Life Insurance Company Limited,99.65,"Max Life Smart Secure Plus plan offers customers multiple death benefit options at affordable premiums alongwith other features such as premium break, special exit value, voluntary sum assured top up and add on riders thus providing a comprehensive protection solution to customers.","Rs. 10,000,000  on death",Inbuilt terminal illness,Special Exit Benefit & Voluntary Top Up,20,12,Term Life Insurance,Premium:42676 premium_monthly:3756 premium_quaterly:11138.0 premium_quaterly:21893 Sum Assured:10000000 age:20 Term:12 Type Of Policy:Term Life Insurance Company:Max Life Insurance Company Limited
38334,3321,9867.0,19355,10000000,E Touch Life Shield,Bajaj Allianz Life Insurance Company Limited,99.23,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 10,000,000  on death ",NIL,Complete online process,20,12,Term Life Insurance,Premium:38334 premium_monthly:3321 premium_quaterly:9867.0 premium_quaterly:19355 Sum Assured:10000000 age:20 Term:12 Type Of Policy:Term Life Insurance Company:Bajaj Allianz Life Insurance Company Limited
40238,3553,10462.0,20521,10000000,Sampoorna Raksha Supreme,TATA AIA Life Insurance Company Limited,99.13,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 10,000,000  on death ",NIL,Complete online process,20,12,Term Life Insurance,Premium:40238 premium_monthly:3553 premium_quaterly:10462.0 premium_quaterly:20521 Sum Assured:10000000 age:20 Term:12 Type Of Policy:Term Life Insurance Company:TATA AIA Life Insurance Company Limited
40328,3443,,20416,10000000,iProtect Smart Lumpsum Plan,ICICI Prudential Life Insurance Company Limited,99.17,iProtect Smart Lumpsum Plan is a comprehensive protection plan that provides complete protection - Life Cover as well as multiple add on riders,"Rs. 10,000,000  on death",Inbuilt terminal illness,Inbuilt Waiver of Premium on disability,20,12,Term Life Insurance,Premium:40328 premium_monthly:3443 premium_quaterly:nan premium_quaterly:20416 Sum Assured:10000000 age:20 Term:12 Type Of Policy:Term Life Insurance Company:ICICI Prudential Life Insurance Company Limited
39718,3475,10326.0,20256,10000000,Click 2 Protect Super,HDFC Life Insurance Company Limited,99.5,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 10,000,000  on death ",NIL,Complete online process,20,12,Term Life Insurance,Premium:39718 premium_monthly:3475 premium_quaterly:10326.0 premium_quaterly:20256 Sum Assured:10000000 age:20 Term:12 Type Of Policy:Term Life Insurance Company:HDFC Life Insurance Company Limited
34854,3067,9097.0,17880,7500000,Smart Secure Plus - Life Cover,Max Life Insurance Company Limited,99.65,"Max Life Smart Secure Plus plan offers customers multiple death benefit options at affordable premiums alongwith other features such as premium break, special exit value, voluntary sum assured top up and add on riders thus providing a comprehensive protection solution to customers.","Rs. 7,500,000  on death",Inbuilt terminal illness,Special Exit Benefit & Voluntary Top Up,20,13,Term Life Insurance,Premium:34854 premium_monthly:3067 premium_quaterly:9097.0 premium_quaterly:17880 Sum Assured:7500000 age:20 Term:13 Type Of Policy:Term Life Insurance Company:Max Life Insurance Company Limited
34452,2984,8868.0,17395,7500000,E Touch Life Shield,Bajaj Allianz Life Insurance Company Limited,99.23,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 7,500,000  on death ",NIL,Complete online process,20,13,Term Life Insurance,Premium:34452 premium_monthly:2984 premium_quaterly:8868.0 premium_quaterly:17395 Sum Assured:7500000 age:20 Term:13 Type Of Policy:Term Life Insurance Company:Bajaj Allianz Life Insurance Company Limited
36403,3214,9465.0,18566,7500000,Sampoorna Raksha Supreme,TATA AIA Life Insurance Company Limited,99.13,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 7,500,000  on death ",NIL,Complete online process,20,13,Term Life Insurance,Premium:36403 premium_monthly:3214 premium_quaterly:9465.0 premium_quaterly:18566 Sum Assured:7500000 age:20 Term:13 Type Of Policy:Term Life Insurance Company:TATA AIA Life Insurance Company Limited
32756,2797,,16583,7500000,iProtect Smart Lumpsum Plan,ICICI Prudential Life Insurance Company Limited,99.17,iProtect Smart Lumpsum Plan is a comprehensive protection plan that provides complete protection - Life Cover as well as multiple add on riders,"Rs. 7,500,000  on death",Inbuilt terminal illness,Inbuilt Waiver of Premium on disability,20,13,Term Life Insurance,Premium:32756 premium_monthly:2797 premium_quaterly:nan premium_quaterly:16583 Sum Assured:7500000 age:20 Term:13 Type Of Policy:Term Life Insurance Company:ICICI Prudential Life Insurance Company Limited
32365,2832,8415.0,16506,7500000,Click 2 Protect Super,HDFC Life Insurance Company Limited,99.5,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 7,500,000  on death ",NIL,Complete online process,20,13,Term Life Insurance,Premium:32365 premium_monthly:2832 premium_quaterly:8415.0 premium_quaterly:16506 Sum Assured:7500000 age:20 Term:13 Type Of Policy:Term Life Insurance Company:HDFC Life Insurance Company Limited
39058,3449,10155.0,19920,10000000,Sampoorna Raksha Supreme,TATA AIA Life Insurance Company Limited,99.13,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 10,000,000  on death ",NIL,Complete online process,20,9,Term Life Insurance,Premium:39058 premium_monthly:3449 premium_quaterly:10155.0 premium_quaterly:19920 Sum Assured:10000000 age:20 Term:9 Type Of Policy:Term Life Insurance Company:TATA AIA Life Insurance Company Limited
38029,3247,,19252,10000000,iProtect Smart Lumpsum Plan,ICICI Prudential Life Insurance Company Limited,99.17,iProtect Smart Lumpsum Plan is a comprehensive protection plan that provides complete protection - Life Cover as well as multiple add on riders,"Rs. 10,000,000  on death",Inbuilt terminal illness,Inbuilt Waiver of Premium on disability,20,9,Term Life Insurance,Premium:38029 premium_monthly:3247 premium_quaterly:nan premium_quaterly:19252 Sum Assured:10000000 age:20 Term:9 Type Of Policy:Term Life Insurance Company:ICICI Prudential Life Insurance Company Limited
37797,3308,9827.0,19276,10000000,Click 2 Protect Super,HDFC Life Insurance Company Limited,99.5,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 10,000,000  on death ",NIL,Complete online process,20,9,Term Life Insurance,Premium:37797 premium_monthly:3308 premium_quaterly:9827.0 premium_quaterly:19276 Sum Assured:10000000 age:20 Term:9 Type Of Policy:Term Life Insurance Company:HDFC Life Insurance Company Limited
38822,3428,10094.0,19799,10000000,Sampoorna Raksha Supreme,TATA AIA Life Insurance Company Limited,99.13,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 10,000,000  on death ",NIL,Complete online process,20,5,Term Life Insurance,Premium:38822 premium_monthly:3428 premium_quaterly:10094.0 premium_quaterly:19799 Sum Assured:10000000 age:20 Term:5 Type Of Policy:Term Life Insurance Company:TATA AIA Life Insurance Company Limited
39880,3405,,20189,10000000,iProtect Smart Lumpsum Plan,ICICI Prudential Life Insurance Company Limited,99.17,iProtect Smart Lumpsum Plan is a comprehensive protection plan that provides complete protection - Life Cover as well as multiple add on riders,"Rs. 10,000,000  on death",Inbuilt terminal illness,Inbuilt Waiver of Premium on disability,20,5,Term Life Insurance,Premium:39880 premium_monthly:3405 premium_quaterly:nan premium_quaterly:20189 Sum Assured:10000000 age:20 Term:5 Type Of Policy:Term Life Insurance Company:ICICI Prudential Life Insurance Company Limited
39649,3469,10308.0,20220,10000000,Click 2 Protect Super,HDFC Life Insurance Company Limited,99.5,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 10,000,000  on death ",NIL,Complete online process,20,5,Term Life Insurance,Premium:39649 premium_monthly:3469 premium_quaterly:10308.0 premium_quaterly:20220 Sum Assured:10000000 age:20 Term:5 Type Of Policy:Term Life Insurance Company:HDFC Life Insurance Company Limited
35470,3121,9258.0,18196,7500000,Smart Secure Plus - Life Cover,Max Life Insurance Company Limited,99.65,"Max Life Smart Secure Plus plan offers customers multiple death benefit options at affordable premiums alongwith other features such as premium break, special exit value, voluntary sum assured top up and add on riders thus providing a comprehensive protection solution to customers.","Rs. 7,500,000  on death",Inbuilt terminal illness,Special Exit Benefit & Voluntary Top Up,20,14,Term Life Insurance,Premium:35470 premium_monthly:3121 premium_quaterly:9258.0 premium_quaterly:18196 Sum Assured:7500000 age:20 Term:14 Type Of Policy:Term Life Insurance Company:Max Life Insurance Company Limited
34575,2995,8900.0,17457,7500000,E Touch Life Shield,Bajaj Allianz Life Insurance Company Limited,99.23,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 7,500,000  on death ",NIL,Complete online process,20,14,Term Life Insurance,Premium:34575 premium_monthly:2995 premium_quaterly:8900.0 premium_quaterly:17457 Sum Assured:7500000 age:20 Term:14 Type Of Policy:Term Life Insurance Company:Bajaj Allianz Life Insurance Company Limited
37052,3272,9634.0,18897,7500000,Sampoorna Raksha Supreme,TATA AIA Life Insurance Company Limited,99.13,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 7,500,000  on death ",NIL,Complete online process,20,14,Term Life Insurance,Premium:37052 premium_monthly:3272 premium_quaterly:9634.0 premium_quaterly:18897 Sum Assured:7500000 age:20 Term:14 Type Of Policy:Term Life Insurance Company:TATA AIA Life Insurance Company Limited
33303,2844,,16860,7500000,iProtect Smart Lumpsum Plan,ICICI Prudential Life Insurance Company Limited,99.17,iProtect Smart Lumpsum Plan is a comprehensive protection plan that provides complete protection - Life Cover as well as multiple add on riders,"Rs. 7,500,000  on death",Inbuilt terminal illness,Inbuilt Waiver of Premium on disability,20,14,Term Life Insurance,Premium:33303 premium_monthly:2844 premium_quaterly:nan premium_quaterly:16860 Sum Assured:7500000 age:20 Term:14 Type Of Policy:Term Life Insurance Company:ICICI Prudential Life Insurance Company Limited
34309,3029,8921.0,17497,7500000,Sampoorna Raksha Supreme,TATA AIA Life Insurance Company Limited,99.13,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 7,500,000  on death ",NIL,Complete online process,20,7,Term Life Insurance,Premium:34309 premium_monthly:3029 premium_quaterly:8921.0 premium_quaterly:17497 Sum Assured:7500000 age:20 Term:7 Type Of Policy:Term Life Insurance Company:TATA AIA Life Insurance Company Limited
30307,2588,,15343,7500000,iProtect Smart Lumpsum Plan,ICICI Prudential Life Insurance Company Limited,99.17,iProtect Smart Lumpsum Plan is a comprehensive protection plan that provides complete protection - Life Cover as well as multiple add on riders,"Rs. 7,500,000  on death",Inbuilt terminal illness,Inbuilt Waiver of Premium on disability,20,7,Term Life Insurance,Premium:30307 premium_monthly:2588 premium_quaterly:nan premium_quaterly:15343 Sum Assured:7500000 age:20 Term:7 Type Of Policy:Term Life Insurance Company:ICICI Prudential Life Insurance Company Limited
30112,2635,7829.0,15358,7500000,Click 2 Protect Super,HDFC Life Insurance Company Limited,99.5,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 7,500,000  on death ",NIL,Complete online process,20,7,Term Life Insurance,Premium:30112 premium_monthly:2635 premium_quaterly:7829.0 premium_quaterly:15358 Sum Assured:7500000 age:20 Term:7 Type Of Policy:Term Life Insurance Company:HDFC Life Insurance Company Limited
38940,3439,10124.0,19859,10000000,Sampoorna Raksha Supreme,TATA AIA Life Insurance Company Limited,99.13,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 10,000,000  on death ",NIL,Complete online process,20,6,Term Life Insurance,Premium:38940 premium_monthly:3439 premium_quaterly:10124.0 premium_quaterly:19859 Sum Assured:10000000 age:20 Term:6 Type Of Policy:Term Life Insurance Company:TATA AIA Life Insurance Company Limited
38427,3281,,19454,10000000,iProtect Smart Lumpsum Plan,ICICI Prudential Life Insurance Company Limited,99.17,iProtect Smart Lumpsum Plan is a comprehensive protection plan that provides complete protection - Life Cover as well as multiple add on riders,"Rs. 10,000,000  on death",Inbuilt terminal illness,Inbuilt Waiver of Premium on disability,20,6,Term Life Insurance,Premium:38427 premium_monthly:3281 premium_quaterly:nan premium_quaterly:19454 Sum Assured:10000000 age:20 Term:6 Type Of Policy:Term Life Insurance Company:ICICI Prudential Life Insurance Company Limited
38206,3343,9933.0,19485,10000000,Click 2 Protect Super,HDFC Life Insurance Company Limited,99.5,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 10,000,000  on death ",NIL,Complete online process,20,6,Term Life Insurance,Premium:38206 premium_monthly:3343 premium_quaterly:9933.0 premium_quaterly:19485 Sum Assured:10000000 age:20 Term:6 Type Of Policy:Term Life Insurance Company:HDFC Life Insurance Company Limited
38940,3439,10124.0,19859,10000000,Sampoorna Raksha Supreme,TATA AIA Life Insurance Company Limited,99.13,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 10,000,000  on death ",NIL,Complete online process,20,7,Term Life Insurance,Premium:38940 premium_monthly:3439 premium_quaterly:10124.0 premium_quaterly:19859 Sum Assured:10000000 age:20 Term:7 Type Of Policy:Term Life Insurance Company:TATA AIA Life Insurance Company Limited
37869,3233,,19171,10000000,iProtect Smart Lumpsum Plan,ICICI Prudential Life Insurance Company Limited,99.17,iProtect Smart Lumpsum Plan is a comprehensive protection plan that provides complete protection - Life Cover as well as multiple add on riders,"Rs. 10,000,000  on death",Inbuilt terminal illness,Inbuilt Waiver of Premium on disability,20,7,Term Life Insurance,Premium:37869 premium_monthly:3233 premium_quaterly:nan premium_quaterly:19171 Sum Assured:10000000 age:20 Term:7 Type Of Policy:Term Life Insurance Company:ICICI Prudential Life Insurance Company Limited
37649,3295,9788.0,19201,10000000,Click 2 Protect Super,HDFC Life Insurance Company Limited,99.5,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 10,000,000  on death ",NIL,Complete online process,20,7,Term Life Insurance,Premium:37649 premium_monthly:3295 premium_quaterly:9788.0 premium_quaterly:19201 Sum Assured:10000000 age:20 Term:7 Type Of Policy:Term Life Insurance Company:HDFC Life Insurance Company Limited
24123,2123,6296.0,12375,5000000,Smart Secure Plus - Life Cover,Max Life Insurance Company Limited,99.65,"Max Life Smart Secure Plus plan offers customers multiple death benefit options at affordable premiums alongwith other features such as premium break, special exit value, voluntary sum assured top up and add on riders thus providing a comprehensive protection solution to customers.","Rs. 5,000,000  on death",Inbuilt terminal illness,Special Exit Benefit & Voluntary Top Up,20,15,Term Life Insurance,Premium:24123 premium_monthly:2123 premium_quaterly:6296.0 premium_quaterly:12375 Sum Assured:5000000 age:20 Term:15 Type Of Policy:Term Life Insurance Company:Max Life Insurance Company Limited
22180,1921,5709.0,11199,5000000,E Touch Life Shield,Bajaj Allianz Life Insurance Company Limited,99.23,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 5,000,000  on death ",NIL,Complete online process,20,15,Term Life Insurance,Premium:22180 premium_monthly:1921 premium_quaterly:5709.0 premium_quaterly:11199 Sum Assured:5000000 age:20 Term:15 Type Of Policy:Term Life Insurance Company:Bajaj Allianz Life Insurance Company Limited
33276,2938,8652.0,16971,5000000,Sampoorna Raksha Supreme,TATA AIA Life Insurance Company Limited,99.13,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 5,000,000  on death ",NIL,Complete online process,20,15,Term Life Insurance,Premium:33276 premium_monthly:2938 premium_quaterly:8652.0 premium_quaterly:16971 Sum Assured:5000000 age:20 Term:15 Type Of Policy:Term Life Insurance Company:TATA AIA Life Insurance Company Limited
23994,2049,,12147,5000000,iProtect Smart Lumpsum Plan,ICICI Prudential Life Insurance Company Limited,99.17,iProtect Smart Lumpsum Plan is a comprehensive protection plan that provides complete protection - Life Cover as well as multiple add on riders,"Rs. 5,000,000  on death",Inbuilt terminal illness,Inbuilt Waiver of Premium on disability,20,15,Term Life Insurance,Premium:23994 premium_monthly:2049 premium_quaterly:nan premium_quaterly:12147 Sum Assured:5000000 age:20 Term:15 Type Of Policy:Term Life Insurance Company:ICICI Prudential Life Insurance Company Limited
23484,2054,6107.0,11977,5000000,Click 2 Protect Super,HDFC Life Insurance Company Limited,99.5,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 5,000,000  on death ",NIL,Complete online process,20,15,Term Life Insurance,Premium:23484 premium_monthly:2054 premium_quaterly:6107.0 premium_quaterly:11977 Sum Assured:5000000 age:20 Term:15 Type Of Policy:Term Life Insurance Company:HDFC Life Insurance Company Limited
22900,2015,5977.0,11748,5000000,Smart Secure Plus - Life Cover,Max Life Insurance Company Limited,99.65,"Max Life Smart Secure Plus plan offers customers multiple death benefit options at affordable premiums alongwith other features such as premium break, special exit value, voluntary sum assured top up and add on riders thus providing a comprehensive protection solution to customers.","Rs. 5,000,000  on death",Inbuilt terminal illness,Special Exit Benefit & Voluntary Top Up,20,12,Term Life Insurance,Premium:22900 premium_monthly:2015 premium_quaterly:5977.0 premium_quaterly:11748 Sum Assured:5000000 age:20 Term:12 Type Of Policy:Term Life Insurance Company:Max Life Insurance Company Limited
22887,1983,5891.0,11556,5000000,E Touch Life Shield,Bajaj Allianz Life Insurance Company Limited,99.23,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 5,000,000  on death ",NIL,Complete online process,20,12,Term Life Insurance,Premium:22887 premium_monthly:1983 premium_quaterly:5891.0 premium_quaterly:11556 Sum Assured:5000000 age:20 Term:12 Type Of Policy:Term Life Insurance Company:Bajaj Allianz Life Insurance Company Limited
